"font-d-16,""rank-sup_rankSup__TNqsa"",""race-progressive-ranking_linkUnderline__9ReuG"",""race-progressive-ranking_linkUnderline__9ReuG href"",""font-d-16 2"",""font-d-12"",""font-d-16 3"",""font-d-12 2"",""font-d-16 4"",""font-d-16 5"",""font-d-16 6"",""font-d-16 7"""
"85,""to"",""Carlos GONZALEZ CALVO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/222"",""222"",""ES"",""20-34M"",""-"",""27"",""79"",""10:20:19"",""03:09:50"""
"86,""to"",""Mathieu GOBAILLE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/96"",""96"",""FR"",""40-44M"","""",""17"",""80"",""10:20:46"",""03:10:17"""
"87,""to"",""IGOR AYALA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1314"",""1314"",""ES"",""35-39M"",""CLUB MIRANDES DE MONTAÑA - NOVADIET"",""18"",""81"",""10:21:11"",""03:10:42"""
"88,""to"",""MAXIMO SANCHEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1316"",""1316"",""ES"",""35-39M"",""Independiente"",""19"",""82"",""10:23:06"",""03:12:37"""
"89,""to"",""Aitor DURAN RUIZ DE EGUINO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/184"",""184"",""ES"",""40-44M"",""Gaikar- zortzietakoak"",""18"",""83"",""10:23:12"",""03:12:43"""
"90,""to"",""JESUS EMILIO CASTRO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/263"",""263"",""ES"",""40-44M"",""LOS CHIC@S DEL NORTE"",""19"",""84"",""10:23:46"",""03:13:17"""
"91,""to"",""Jesus MENDEZ MEDINA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/290"",""290"",""ES"",""35-39M"",""ARISTA"",""20"",""85"",""10:25:32"",""03:15:03"""
"92,""to"",""Thomas BARACH"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/76"",""76"",""FR"",""40-44M"","""",""20"",""86"",""10:26:02"",""03:15:33"""
"93,""to"",""Javier MUNOZ NAJERA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/278"",""278"",""ES"",""35-39M"","""",""21"",""87"",""10:27:41"",""03:17:12"""
"94,""to"",""Léa DUHET"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/22"",""22"",""FR"",""20-34F"","""",""6"",""7"",""10:28:42"",""03:18:13"""
"95,""to"",""Dani ERENA RIBAS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/181"",""181"",""ES"",""40-44M"",""Otso Team"",""21"",""88"",""10:29:32"",""03:19:03"""
"96,""to"",""Pablo CABALLERO CEBALLOS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/234"",""234"",""ES"",""20-34M"",""STONE ISLANDS C.D."",""28"",""89"",""10:29:34"",""03:19:05"""
"97,""to"",""José Carlos MELO GONZALEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/149"",""149"",""ES"",""35-39M"",""MACHETE TRAIL"",""22"",""90"",""10:30:38"",""03:20:09"""
"98,""to"",""CRISTOBAL GUTIERREZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1269"",""1269"",""ES"",""45-49M"",""CD ALBERO TEAM"",""13"",""91"",""10:30:46"",""03:20:17"""
"99,""to"",""Fernando GONZALEZ DIAZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/137"",""137"",""ES"",""45-49M"",""Arista"",""14"",""92"",""10:33:23"",""03:22:54"""
"100,""to"",""Carlos BELDA PALAU"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/97"",""97"",""ES"",""40-44M"","""",""22"",""93"",""10:33:44"",""03:23:15"""
