"tablescraper-selected-row,""tablescraper-selected-row 2"",""tablescraper-selected-row href"",""tablescraper-selected-row src"",""tablescraper-selected-row 3"",""tablescraper-selected-row 4"",""tablescraper-selected-row 5"",""tablescraper-selected-row 6"",""tablescraper-selected-row src 2"""
"69,""HERRERA MONTERO Daniel"",""https://itra.run/RunnerSpace/HERRERA%20MONTERO.Daniel/2109283"",""https://itra.run/images/member-pics/default.jpg"",""9:57:44"",""29"",""H"",""CRC"",""https://itra.run/images/CountryFlags/cr.svg"""
"70,""PONCE DE LEON Jairo"",""https://itra.run/RunnerSpace/PONCE%20DE%20LEON.Jairo/1994279"",""https://itra.run/images/member-pics/default.jpg"",""9:58:58"",""40"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"71,""WAGNER Thomas"",""https://itra.run/RunnerSpace/WAGNER.Thomas/18976"",""https://itra.run/Files/Photos/pic26715_43fed875.jpg"",""9:59:10"",""40"",""H"",""AUT"",""https://itra.run/images/CountryFlags/at.svg"""
"72,""LOPEZ DOMINGUEZ Nano"",""https://itra.run/RunnerSpace/LOPEZ%20DOMINGUEZ.Nano/560320"",""https://itra.run/Files/Photos/pic42437_37aeda10.jpg"",""9:59:29"",""37"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"73,""BERGER Romain"",""https://itra.run/RunnerSpace/BERGER.Romain/116561"",""https://itra.run/Files/Photos/pic50437_63e1cde5.jpg"",""10:01:23"",""27"",""H"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"74,""DELGADO David"",""https://itra.run/RunnerSpace/DELGADO.David/1631447"",""https://itra.run/Files/Photos/pic101647_d6f166dc.jpg"",""10:02:51"",""25"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"75,""BAEZ ALEMAN Carlos"",""https://itra.run/RunnerSpace/BAEZ%20ALEMAN.Carlos/881359"",""https://itra.run/Files/Photos/pic57079_b72c8787.jpg"",""10:03:56"",""41"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"76,""GOMEZ CACERES Jaime Jose"",""https://itra.run/RunnerSpace/GOMEZ%20CACERES.Jaime%20Jose/452056"",""https://itra.run/images/member-pics/default.jpg"",""10:04:15"",""53"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"77,""Grigorova Antoniya"",""https://itra.run/RunnerSpace/Grigorova.Antoniya/527153"",""https://itra.run/Files/Photos/pic135267_573914dc.jpg"",""10:05:27"",""33"",""F"",""BUL"",""https://itra.run/images/CountryFlags/bg.svg"""
"78,""URETA Pablo"",""https://itra.run/RunnerSpace/URETA.Pablo/292065"",""https://itra.run/Files/Photos/pic14419_e010b025.jpg"",""10:07:05"",""40"",""H"",""ARG"",""https://itra.run/images/CountryFlags/ar.svg"""
