"37,""402"",""Juan Carlos RODRÍGUEZ CASTILLA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884332784&method=ResAtletaUid"",""36"",""14 VETA-M"",""VETA"",""anaga trail"",""16:38:27"",""10:17"",""05:08:40"",""14006"",""M"",""20 LOC-M""";
"38,""147"",""Alfonso GARCÍA CLEMENTE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535753606&method=ResAtletaUid"",""37"",""21 SEN-M"",""SEN"",""Melenudos Team"",""16:41:46"",""10:19"",""05:11:59"",""14008"",""M"",""""";
"39,""288"",""Andrés MARTÍ PUIG"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492670212171&method=ResAtletaUid"",""38"",""15 VETA-M"",""VETA"",""TURURAC SPORTS-CORRESENDES XERESA"",""16:47:23"",""10:23"",""05:17:36"",""14006"",""M"",""""";
"40,""301"",""Joran MARTIN PEREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535742550&method=ResAtletaUid"",""39"",""22 SEN-M"",""SEN"",""CCT Santa Cruz-Magec Trail"",""16:47:54"",""10:23"",""05:18:07"",""14008"",""M"",""21 LOC-M""";
"41,""262"",""Marcos  LÓPEZ ÁLVAREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705234165&method=ResAtletaUid"",""40"",""16 VETA-M"",""VETA"",""CD ARISTA"",""16:50:13"",""10:24"",""05:20:26"",""14006"",""M"",""""";
"42,""412"",""Miguel Sinue RODRÍGUEZ NAVARRO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705232288&method=ResAtletaUid"",""41"",""17 VETA-M"",""VETA"",""TRECUS DOMINGO ALONSO LA PALMA"",""16:54:09"",""10:27"",""05:24:22"",""14006"",""M"",""22 LOC-M""";
"43,""32"",""Airam BAEZ ACOSTA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535747743&method=ResAtletaUid"",""42"",""23 SEN-M"",""SEN"",""DE MAR A CUMBRE MUFLONES TRAIL"",""16:55:57"",""10:28"",""05:26:10"",""14008"",""M"",""23 LOC-M""";
"44,""388"",""Chamu  RAVELO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1467820444150&method=ResAtletaUid"",""43"",""24 SEN-M"",""SEN"",""bohemian team"",""16:56:26"",""10:28"",""05:26:39"",""14008"",""M"",""24 LOC-M";"2 MIL-M"""
"45,""206"",""Salvador  GONZALEZ TEODORO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1490814718699&method=ResAtletaUid"",""44"",""25 SEN-M"",""SEN"",""ALBORACHE RUNNERS"",""16:56:44"",""10:28"",""05:26:57"",""14008"",""M"",""""";
"46,""2"",""Cinzia BERTASA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1484495043532&method=ResAtletaUid"",""2-F"",""1 VETA-F"",""VETA"",""BERGAMO STARS"",""16:57:49"",""10:29"",""05:28:02"",""14004"",""F"",""""";
